andamentos_certos,andamentos_errados
Juntada de Aviso de Recebimento (AR),Concluso para Despacho
Juntada de Aviso de Recebimento (AR),Decisão Proferida
Juntada de Aviso de Recebimento (AR),Encaminhado edital/relação para publicação
Juntada de Aviso de Recebimento (AR),Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Juntada de Petição
Juntada de documento,Julgado improcedente o pedido
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Prazo alterado pelo ajuste na tabela de feriados
Juntada de documento,Transitado em Julgado
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Arquivado Definitivamente
Juntada de documento,Expedição de Certidão de Arquivamento
Juntada de Petição,Prazo alterado pelo ajuste na tabela de feriados
Juntada de documento,Processo Distribuído por Sorteio
Juntada de Petição,Conclusos
Juntada de Aviso de Recebimento (AR),Proferido despacho de mero expediente
Juntada de documento,Expedição de Carta
Juntada de documento,Juntada de Petição
Juntada de Petição,Juntada de Aviso de Recebimento (AR)
Juntada de Aviso de Recebimento (AR),Decisão Proferida
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Decorrido prazo
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Expedição de Carta
Juntada de documento,Remetidos os Autos para a Central de Conciliação
Juntada de Petição,Processo recebido pela Central de Conciliação
Juntada de documento,Juntada de Aviso de Recebimento (AR)
Juntada de documento,Expedição de Ofício
Juntada de documento,Juntada de documento
Juntada de Petição,Sessão de Conciliação não-realizada
Juntada de documento,Certidão emitida
Juntada de documento,Remessa dos Autos a Vara de Origem - Central de Conciliação
Juntada de documento,Proferido despacho de mero expediente
Juntada de Petição,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de Petição,Expedição de Carta
Juntada de documento,Decorrido prazo
